Species,Longitude,Latitude,populations,GARP_C_N,GARP_ALL,GBM_C_N,GBM_ALL,MAXENT_C_N,GLM_ALL,KDE_C_N,KDE_ALL,MAXENT_ALL,NICHEA_ALL,NICHEA_C_N,GLM_C_N
Lycalopex_fulvipes,-74.0875,-42.579167,Chiloe,1.0,1.0,0.6072468757629395,0.8405973315238953,0.5395410060882568,0.9079999923706055,1.0,1.0,0.5939069986343384,0.003904761979356408,0.007428571581840515,0.8579999804496765
Lycalopex_fulvipes,-74.0875,-42.5875,Chiloe,1.0,1.0,0.6239292025566101,0.6541211009025574,0.5740870237350464,0.9330000281333923,0.0,1.0,0.6346499919891357,0.0037142857909202576,0.007333333604037762,0.8980000019073486
Lycalopex_fulvipes,-74.0875,-42.595833,Chiloe,1.0,1.0,0.7605528235435486,0.8424695134162903,0.5303130149841309,0.8989999890327454,1.0,1.0,0.5781390070915222,0.003904761979356408,0.007333333604037762,0.8460000157356262
Lycalopex_fulvipes,-73.945833,-43.1125,Chiloe,1.0,1.0,0.847985565662384,0.9294419288635254,0.6260640025138855,0.8370000123977661,1.0,1.0,0.6246529817581177,0.0029523810371756554,0.006761904805898666,0.7699999809265137
Lycalopex_fulvipes,-73.945833,-43.120833,Chiloe,1.0,1.0,0.797187328338623,0.9429303407669067,0.69336998462677,0.8600000143051147,1.0,1.0,0.6860460042953491,0.0025714286603033543,0.006190476473420858,0.8080000281333923
Lycalopex_fulvipes,-74.1625,-42.870833,Chiloe,1.0,1.0,0.7730014324188232,0.7146740555763245,0.6953510046005249,0.9660000205039978,1.0,1.0,0.7749850153923035,0.0023809524718672037,0.005333333741873503,0.9549999833106995
Lycalopex_fulvipes,-73.570833,-41.8375,Chiloe,1.0,1.0,0.8167163133621216,0.7009284496307373,0.3304370045661926,0.8790000081062317,1.0,1.0,0.39680400490760803,0.004761904943734407,0.007619047537446022,0.800000011920929
Lycalopex_fulvipes,-74.070833,-42.570833,Chiloe,1.0,1.0,0.579392671585083,0.7031441926956177,0.4319320023059845,0.8230000138282776,1.0,1.0,0.4600229859352112,0.004095238167792559,0.007428571581840515,0.7360000014305115
Lycalopex_fulvipes,-74.070833,-42.545833,Chiloe,0.10000000149011612,0.0,0.08990948647260666,0.06272625178098679,0.01460140012204647,0.296999990940094,0.0,1.0,0.011646199971437454,0.003523809602484107,0.006285714451223612,0.23899999260902405
Lycalopex_fulvipes,-74.070833,-42.554167,Chiloe,0.10000000149011612,0.0,0.08931273221969604,0.0620553195476532,0.05112659931182861,0.3479999899864197,1.0,1.0,0.04522540047764778,0.0034285716246813536,0.006380952429026365,0.27799999713897705
Lycalopex_fulvipes,-74.120833,-42.6875,Chiloe,1.0,1.0,0.6145923137664795,0.7388145327568054,0.605226993560791,0.953000009059906,1.0,1.0,0.6800879836082458,0.0033333334140479565,0.006666666828095913,0.9319999814033508
Lycalopex_fulvipes,-74.120833,-42.7125,Chiloe,1.0,1.0,0.637591540813446,0.7522895932197571,0.6062189936637878,0.9480000138282776,1.0,1.0,0.6901370286941528,0.0033333334140479565,0.006666666828095913,0.925000011920929
Lycalopex_fulvipes,-74.120833,-43.145833,Chiloe,1.0,1.0,0.9332954287528992,0.9331077337265015,0.7250620126724243,0.9139999747276306,1.0,1.0,0.738381028175354,0.0020000000949949026,0.00447619054466486,0.8889999985694885
Lycalopex_fulvipes,-73.979167,-43.120833,Chiloe,1.0,0.699999988079071,0.7196973562240601,0.5586567521095276,0.5782899856567383,0.7639999985694885,1.0,1.0,0.5594030022621155,0.0023809524718672037,0.00552380969747901,0.6980000138282776
Lycalopex_fulvipes,-74.2625,-43.145833,Chiloe,0.8999999761581421,1.0,0.8589016199111938,0.921516478061676,0.4974530041217804,0.9700000286102295,1.0,1.0,0.5307809710502625,9.523810149403289E-5,4.761904710903764E-4,0.9670000076293945
Lycalopex_fulvipes,-73.745833,-43.329167,Chiloe,0.800000011920929,0.699999988079071,0.27054813504219055,0.23550967872142792,0.30407899618148804,0.902999997138977,1.0,1.0,0.34685200452804565,0.0012380952248349786,0.005428571719676256,0.8550000190734863
Lycalopex_fulvipes,-74.029167,-42.079167,Chiloe,1.0,1.0,0.9166733622550964,0.8509339690208435,0.5731440186500549,0.8849999904632568,1.0,1.0,0.6495609879493713,0.0011428571306169033,0.0022857142612338066,0.8130000233650208
Lycalopex_fulvipes,-73.4875,-43.1125,Chiloe,1.0,1.0,0.7198237776756287,0.8776138424873352,0.5883340239524841,0.9020000100135803,1.0,1.0,0.6370490193367004,0.0029523810371756554,0.006476190872490406,0.843999981880188
Lycalopex_fulvipes,-73.795833,-43.020833,Chiloe,1.0,1.0,0.9263303279876709,0.8102353811264038,0.5872960090637207,0.8730000257492065,1.0,1.0,0.6126769781112671,0.0033333334140479565,0.007047619204968214,0.8130000233650208
Lycalopex_fulvipes,-74.295833,-43.145833,Chiloe,1.0,1.0,0.8266531229019165,0.7657577991485596,0.7582520246505737,0.9559999704360962,1.0,1.0,0.7990249991416931,5.714285653084517E-4,0.001047619036398828,0.949999988079071
Lycalopex_fulvipes,-74.154167,-43.3125,Chiloe,1.0,1.0,0.7742796540260315,0.9434046149253845,0.8716999888420105,0.9660000205039978,1.0,1.0,0.8929389715194702,4.761904710903764E-4,0.0034285716246813536,0.9610000252723694
Lycalopex_fulvipes,-74.0625,-42.154167,Chiloe,1.0,1.0,0.9399821758270264,0.883399248123169,0.5917869806289673,0.8980000019073486,1.0,1.0,0.6518459916114807,0.0020000000949949026,0.004857142921537161,0.8370000123977661
Lycalopex_fulvipes,-74.0625,-42.145833,Chiloe,1.0,1.0,0.9697697162628174,0.9462655782699585,0.6847149729728699,0.9110000133514404,1.0,1.0,0.7357810139656067,0.0016190477181226015,0.004285714123398066,0.8600000143051147
Lycalopex_fulvipes,-73.829167,-41.954167,Chiloe,0.8999999761581421,0.800000011920929,0.6341691613197327,0.35042479634284973,0.27952298521995544,0.8619999885559082,1.0,1.0,0.3650049865245819,3.8095240597613156E-4,7.619048119522631E-4,0.7749999761581421
Lycalopex_fulvipes,-74.1125,-42.6875,Chiloe,1.0,1.0,0.7280553579330444,0.736873984336853,0.6393309831619263,0.9559999704360962,1.0,1.0,0.7223719954490662,0.0029523810371756554,0.006095238495618105,0.9380000233650208
Lycalopex_fulvipes,-73.970833,-42.754167,Chiloe,1.0,1.0,0.705963671207428,0.8334081768989563,0.5415289998054504,0.9179999828338623,1.0,1.0,0.6007090210914612,0.003904761979356408,0.0071428571827709675,0.8759999871253967
Lycalopex_fulvipes,-73.7875,-43.0125,Chiloe,1.0,1.0,0.8883451819419861,0.8096041083335876,0.5589590072631836,0.8510000109672546,1.0,1.0,0.5808249711990356,0.0034285716246813536,0.0071428571827709675,0.781000018119812
